t	K	U	E	T	P
14320	953.1212102724572	-4844.452964350926	-3891.3317540784687	0.735433032617637	0.2940093620864662
14340	951.8089001034248	-4842.056353040923	-3890.247452937498	0.7344204476106673	0.30618896505696813
14360	958.7052433820866	-4842.332640655992	-3883.627397273905	0.7397417001404989	0.3561648695663168
14380	943.9356287799028	-4834.799043975826	-3890.863415195922	0.7283453925770856	0.3052750480671793
14400	962.5965760142968	-4856.657629165527	-3894.0610531512298	0.7427442716159701	0.4420698834211191
14420	963.9494362735195	-4857.765000837875	-3893.8155645643565	0.7437881452727775	0.4098647881993064
14440	943.4524113544788	-4829.735225797247	-3886.2828144427685	0.7279725396253693	0.2152110978961112
14460	968.5640597777762	-4857.14191647859	-3888.5778567008138	0.7473488115569262	0.43447468753323293
14480	943.2921209817956	-4833.381636291909	-3890.089515310113	0.7278488587822498	0.23167678630498748
14500	934.4292207406503	-4833.940024004377	-3899.5108032637254	0.7210102011887732	0.2924646083978361
14520	925.1979445358102	-4824.747519819828	-3899.549575284017	0.7138873028825696	0.2361903884132223
14540	967.9700741973145	-4865.892907672724	-3897.9228334754102	0.7468904893497796	0.484588282513071
14560	967.9302259846611	-4863.449473244112	-3895.519247259451	0.7468597422721147	0.47551395843636246
14580	977.2809575770455	-4869.245556652108	-3891.9645990750614	0.754074812945251	0.4935811205947308
14600	969.7464770708239	-4865.647875569654	-3895.9013984988305	0.7482611705793393	0.4827125948239274
14620	934.0887229502545	-4849.250934061934	-3915.162211111679	0.7207474714122334	0.40477919028503406
14640	943.2321738402532	-4862.879578663798	-3919.6474048235455	0.7278026032718004	0.48220895149509857
14660	933.6439184869976	-4859.076164108231	-3925.4322456212335	0.7204042580918191	0.44922948477074726
14680	926.7937416410866	-4863.744578749055	-3936.950837107969	0.7151186278094805	0.4477869122348073
14700	917.770156963557	-4865.737169521689	-3947.9670125581324	0.7081559853113867	0.46042123370203625
14720	897.9879592324365	-4842.815686876557	-3944.827727644121	0.6928919438521887	0.31312089798187837
14740	918.9777995004199	-4855.375822147712	-3936.398022647293	0.7090878082564969	0.40355410668964276
14760	938.5714744200634	-4879.586039238294	-3941.0145648182306	0.7242063845833822	0.6020837634301179
14780	931.1644134237176	-4853.016891656137	-3921.8524782324203	0.7184910597405227	0.4210431199790802
14800	934.7167756929699	-4849.796357882298	-3915.0795821893275	0.7212320800100076	0.39046571729244184
14820	927.6046503832579	-4847.871956345656	-3920.267305962397	0.7157443289994274	0.31373535428440413
14840	925.5598203772473	-4853.8024050997865	-3928.2425847225395	0.7141665280688635	0.386332331265077
14860	946.8523189331885	-4857.454399810093	-3910.6020808769035	0.7305959251027687	0.42821870629719105
14880	960.6792718576156	-4862.202290646044	-3901.5230187884285	0.7412648702605059	0.44147362754837854
14900	942.7671910483081	-4852.384649347186	-3909.6174582988774	0.7274438202533242	0.3534973891527827
14920	964.7715417012274	-4870.806392043012	-3906.0348503417845	0.7444224858805769	0.4744135979397052
14940	934.8914529788817	-4844.0072059603535	-3909.115752981471	0.7213668618664213	0.2977986966600518
14960	950.9580897059762	-4856.831026877105	-3905.8729371711283	0.7337639581064631	0.39087856812535293
14980	929.1193095395862	-4836.24996672799	-3907.1306571884043	0.7169130474842484	0.2778538509279628
15000	945.7725841095523	-4853.2330864841	-3907.460502374547	0.7297627963808277	0.3816184475420762
15020	950.9560607461242	-4856.468098126175	-3905.5120373800514	0.7337623925510218	0.4128285487924086
15040	936.7609863248215	-4844.709895781478	-3907.948909456657	0.722809403028412	0.343608006245772
15060	956.3155791237026	-4857.262901450685	-3900.947322326984	0.7378978233979188	0.4586973729113385
15080	955.7445321431496	-4858.450965872609	-3902.7064337294605	0.7374572007277388	0.46354066645009306
15100	957.5189414942827	-4853.011628730358	-3895.492687236076	0.7388263437455886	0.379430821528283
15120	934.4041863160579	-4830.502088153777	-3896.0979018377197	0.720990884503131	0.20340641951192487
15140	950.3522568588023	-4837.125505880783	-3886.7732490219796	0.7332964944898165	0.25757686069558633
15160	956.4380233813284	-4836.740633785821	-3880.302610404492	0.7379923019917657	0.34772390870044456
15180	954.2791652980943	-4849.007297353647	-3894.728132055553	0.7363265164337147	0.4441719059012351
15200	953.9858825961601	-4844.784532308932	-3890.7986497127713	0.7361002180525927	0.38974831027329254
15220	956.9881682526315	-4853.516450931082	-3896.5282826784487	0.738416796491228	0.4231145960614845
15240	946.9189108346843	-4849.176247133228	-3902.2573362985436	0.7306473077428121	0.3838468964934671
15260	927.1889814931003	-4837.044709425258	-3909.8557279321576	0.7154235968310958	0.29888165007845147
15280	923.1451251438269	-4843.230173137545	-3920.085047993717	0.7123033373023355	0.37453282254060516
15300	929.8434792759572	-4851.927877462082	-3922.0843981861244	0.7174718204289793	0.4656739763949996
15320	933.829894481593	-4858.592126031444	-3924.762231549852	0.7205477580876487	0.47810930224394016
15340	939.3375316762782	-4861.021296288791	-3921.683764612512	0.7247974781452764	0.4620426830511405
15360	911.2844114692468	-4844.320778762879	-3933.036367293632	0.7031515520596043	0.33532550658788335
15380	918.1362733667165	-4853.454966283108	-3935.3186929163917	0.7084384825360467	0.3798914710943377
15400	954.676647094074	-4881.140159996974	-3926.4635129028998	0.7366332153503657	0.6092320221786347
15420	935.4320193392256	-4866.831467633914	-3931.39944829469	0.7217839655395262	0.5195089381616358
